id_corsa,id_bici,id_utente,città_x,data_corsa,durata_minuti,km_percorsi,fascia_oraria,mese,giorno_settimana,tipo_corsa,velocita_media,costo_stimato,tipo,città_y,anno_acquisto,costo_acquisto,nome,città,tipo_abbonamento,data_iscrizione
C0001,B007,U003,Torino,2026-04-10,28.0,4.89,sera,4,Friday,media,10.48,3.8,classica,Torino,2020,2000,Marco,Torino,Premium,2025-03-20
C0002,B020,U003,Torino,2026-04-10,36.0,6.68,notte,4,Friday,media,11.13,4.6,classica,Roma,2019,800,Marco,Torino,Premium,2025-03-20
C0003,B015,U001,Roma,2026-03-15,51.0,11.52,mattina,3,Sunday,lunga,13.55,5.48,elettrica,Milano,2023,2000,Luca,Roma,Family,2024-06-01
C0004,B011,U005,Milano,2026-03-01,44.0,4.09,mattina,3,Sunday,media,5.58,5.4,classica,Roma,2024,2000,Anna,Torino,Base,2024-06-01
C0005,B008,U010,Milano,2026-04-10,70.0,11.31,sera,4,Friday,lunga,9.69,7.0,classica,Torino,2018,1500,Roberto,Torino,Family,2024-06-01
C0006,B007,U007,Roma,2026-03-01,31.0,4.79,notte,3,Sunday,media,9.27,4.1,classica,Torino,2020,2000,Elena,Torino,Base,2024-01-15
C0007,B019,U009,Milano,2026-03-15,6.0,1.08,mattina,3,Sunday,breve,10.8,1.5,classica,Milano,2018,1200,Chiara,Roma,Premium,2024-01-15
C0008,B011,U007,Roma,2026-03-15,21.0,4.95,notte,3,Sunday,media,14.14,3.1,classica,Roma,2024,2000,Elena,Torino,Base,2024-01-15
C0009,B011,U009,Roma,2026-04-10,37.0,8.15,sera,4,Friday,media,13.22,4.7,classica,Roma,2024,2000,Chiara,Roma,Premium,2024-01-15
C0010,B004,U008,Torino,2026-03-15,13.0,2.57,mattina,3,Sunday,breve,11.86,1.5,classica,Roma,2023,800,Matteo,Torino,Base,2024-01-15
C0011,B008,U012,Roma,2026-03-01,47.0,7.51,notte,3,Sunday,lunga,9.59,5.16,classica,Torino,2018,1500,Davide,Milano,Base,2024-06-01
C0012,B003,U002,Torino,2026-04-10,52.0,10.36,mattina,4,Friday,lunga,11.95,5.56,classica,Milano,2018,2000,Sara,Roma,Premium,2025-03-20
C0013,B002,U001,Milano,2026-03-01,43.0,7.74,sera,3,Sunday,media,10.8,5.3,elettrica,Torino,2019,800,Luca,Roma,Family,2024-06-01
C0014,B012,U016,Milano,2026-03-01,46.0,7.7,notte,3,Sunday,lunga,10.04,5.08,elettrica,Roma,2018,1200,Andrea,Torino,Premium,2025-03-20
C0015,B006,U023,Milano,2026-03-15,30.0,5.8,mattina,3,Sunday,media,11.6,4.0,classica,Roma,2022,800,Sofia,Torino,Base,2025-03-20
C0016,B002,U023,Milano,2026-03-15,54.0,10.25,sera,3,Sunday,lunga,11.39,5.72,elettrica,Torino,2019,800,Sofia,Torino,Base,2025-03-20
C0017,B001,U024,Torino,2026-03-15,29.0,6.14,mattina,3,Sunday,media,12.7,3.9,classica,Torino,2023,2000,Michele,Milano,Premium,2025-03-20
C0018,B012,U005,Milano,2026-03-15,28.0,5.98,mattina,3,Sunday,media,12.81,3.8,elettrica,Roma,2018,1200,Anna,Torino,Base,2024-06-01
C0019,B012,U003,Roma,2026-03-15,17.0,2.63,pomeriggio,3,Sunday,media,9.28,2.7,elettrica,Roma,2018,1200,Marco,Torino,Premium,2025-03-20
C0020,B017,U012,Roma,2026-04-10,64.0,12.0,pomeriggio,4,Friday,lunga,11.25,6.52,elettrica,Milano,2024,1200,Davide,Milano,Base,2024-06-01
C0021,B010,U008,Roma,2026-03-01,11.0,2.34,sera,3,Sunday,breve,12.76,1.5,classica,Milano,2018,1500,Matteo,Torino,Base,2024-01-15
C0022,B016,U022,Torino,2026-03-01,61.0,12.22,pomeriggio,3,Sunday,lunga,12.02,6.28,elettrica,Roma,2020,1500,Lorenzo,Roma,Base,2024-01-15
C0023,B015,U003,Milano,2026-03-01,40.0,9.43,sera,3,Sunday,media,14.14,5.0,elettrica,Milano,2023,2000,Marco,Torino,Premium,2025-03-20
C0024,B015,U001,Milano,2026-03-01,49.0,10.58,pomeriggio,3,Sunday,lunga,12.96,5.32,elettrica,Milano,2023,2000,Luca,Roma,Family,2024-06-01
C0025,B019,U003,Milano,2026-03-15,24.0,3.99,mattina,3,Sunday,media,9.98,3.4,classica,Milano,2018,1200,Marco,Torino,Premium,2025-03-20
C0026,B012,U005,Torino,2026-03-01,69.0,10.84,sera,3,Sunday,lunga,9.43,6.92,elettrica,Roma,2018,1200,Anna,Torino,Base,2024-06-01
C0027,B020,U015,Roma,2026-04-10,12.0,2.57,sera,4,Friday,breve,12.85,1.5,classica,Roma,2019,800,Francesca,Roma,Family,2024-06-01
C0028,B003,U014,Roma,2026-04-10,20.0,3.05,mattina,4,Friday,media,9.15,3.0,classica,Milano,2018,2000,Simone,Roma,Family,2025-03-20
C0029,B005,U003,Milano,2026-03-01,18.0,3.75,sera,3,Sunday,media,12.5,2.8,classica,Milano,2019,1500,Marco,Torino,Premium,2025-03-20
C0030,B019,U001,Roma,2026-03-01,80.0,19.52,sera,3,Sunday,lunga,14.64,7.8,classica,Milano,2018,1200,Luca,Roma,Family,2024-06-01
C0031,B007,U005,Roma,2026-04-10,19.0,3.94,pomeriggio,4,Friday,media,12.44,2.9,classica,Torino,2020,2000,Anna,Torino,Base,2024-06-01
C0032,B009,U023,Torino,2026-04-10,70.0,13.22,sera,4,Friday,lunga,11.33,7.0,elettrica,Milano,2019,1500,Sofia,Torino,Base,2025-03-20
C0033,B007,U014,Torino,2026-03-15,36.0,7.72,notte,3,Sunday,media,12.87,4.6,classica,Torino,2020,2000,Simone,Roma,Family,2025-03-20
C0034,B018,U007,Torino,2026-04-10,67.0,13.12,mattina,4,Friday,lunga,11.75,6.76,elettrica,Milano,2022,2000,Elena,Torino,Base,2024-01-15
C0035,B004,U009,Torino,2026-03-15,55.0,11.25,pomeriggio,3,Sunday,lunga,12.27,5.8,classica,Roma,2023,800,Chiara,Roma,Premium,2024-01-15
C0036,B014,U015,Milano,2026-03-15,29.0,7.08,pomeriggio,3,Sunday,media,14.65,3.9,elettrica,Roma,2024,1200,Francesca,Roma,Family,2024-06-01
C0037,B018,U015,Torino,2026-03-15,62.0,11.69,notte,3,Sunday,lunga,11.31,6.36,elettrica,Milano,2022,2000,Francesca,Roma,Family,2024-06-01
C0038,B009,U010,Roma,2026-03-15,67.0,16.49,mattina,3,Sunday,lunga,14.77,6.76,elettrica,Milano,2019,1500,Roberto,Torino,Family,2024-06-01
C0039,B002,U013,Milano,2026-03-15,66.0,15.88,mattina,3,Sunday,lunga,14.44,6.68,elettrica,Torino,2019,800,Martina,Roma,Premium,2024-06-01
C0040,B020,U019,Roma,2026-03-01,26.0,4.41,pomeriggio,3,Sunday,media,10.18,3.6,classica,Roma,2019,800,Laura,Milano,Base,2024-06-01
C0041,B015,U007,Roma,2026-04-10,62.0,11.16,sera,4,Friday,lunga,10.8,6.36,elettrica,Milano,2023,2000,Elena,Torino,Base,2024-01-15
C0042,B007,U017,Roma,2026-03-15,62.0,9.92,pomeriggio,3,Sunday,lunga,9.6,6.36,classica,Torino,2020,2000,Valentina,Torino,Premium,2024-06-01
C0043,B012,U020,Torino,2026-04-10,55.0,8.05,mattina,4,Friday,lunga,8.78,5.8,elettrica,Roma,2018,1200,Stefano,Torino,Family,2025-03-20
C0044,B008,U004,Torino,2026-04-10,56.0,8.93,notte,4,Friday,lunga,9.57,5.88,classica,Torino,2018,1500,Giulia,Torino,Premium,2024-01-15
C0045,B015,U005,Milano,2026-03-15,46.0,10.04,pomeriggio,3,Sunday,lunga,13.1,5.08,elettrica,Milano,2023,2000,Anna,Torino,Base,2024-06-01
C0046,B003,U023,Milano,2026-03-01,74.0,11.63,mattina,3,Sunday,lunga,9.43,7.32,classica,Milano,2018,2000,Sofia,Torino,Base,2025-03-20
C0047,B014,U007,Torino,2026-03-15,19.0,3.46,pomeriggio,3,Sunday,media,10.93,2.9,elettrica,Roma,2024,1200,Elena,Torino,Base,2024-01-15
C0048,B017,U013,Roma,2026-03-01,58.0,13.6,sera,3,Sunday,lunga,14.07,6.04,elettrica,Milano,2024,1200,Martina,Roma,Premium,2024-06-01
C0049,B004,U015,Milano,2026-04-10,64.0,9.75,pomeriggio,4,Friday,lunga,9.14,6.52,classica,Roma,2023,800,Francesca,Roma,Family,2024-06-01
C0050,B018,U011,Torino,2026-03-01,12.0,2.78,pomeriggio,3,Sunday,breve,13.9,1.5,elettrica,Milano,2022,2000,Alessia,Torino,Base,2024-01-15
C0051,B008,U004,Torino,2026-03-01,57.0,10.16,mattina,3,Sunday,lunga,10.69,5.96,classica,Torino,2018,1500,Giulia,Torino,Premium,2024-01-15
C0052,B004,U013,Torino,2026-03-01,64.0,11.52,mattina,3,Sunday,lunga,10.8,6.52,classica,Roma,2023,800,Martina,Roma,Premium,2024-06-01
C0053,B002,U007,Roma,2026-04-10,9.0,1.98,mattina,4,Friday,breve,13.2,1.5,elettrica,Torino,2019,800,Elena,Torino,Base,2024-01-15
C0054,B006,U019,Torino,2026-04-10,72.0,15.33,pomeriggio,4,Friday,lunga,12.78,7.16,classica,Roma,2022,800,Laura,Milano,Base,2024-06-01
C0055,B010,U022,Torino,2026-03-01,10.0,2.38,sera,3,Sunday,breve,14.28,1.5,classica,Milano,2018,1500,Lorenzo,Roma,Base,2024-01-15
C0056,B004,U002,Torino,2026-03-01,51.0,11.4,notte,3,Sunday,lunga,13.41,5.48,classica,Roma,2023,800,Sara,Roma,Premium,2025-03-20
C0057,B018,U010,Torino,2026-03-15,59.0,13.59,notte,3,Sunday,lunga,13.82,6.12,elettrica,Milano,2022,2000,Roberto,Torino,Family,2024-06-01
C0058,B012,U013,Milano,2026-03-01,44.0,7.84,mattina,3,Sunday,media,10.69,5.4,elettrica,Roma,2018,1200,Martina,Roma,Premium,2024-06-01
C0059,B002,U025,Milano,2026-03-15,56.0,9.39,mattina,3,Sunday,lunga,10.06,5.88,elettrica,Torino,2019,800,Federica,Milano,Premium,2025-03-20
C0060,B010,U021,Torino,2026-03-01,20.0,4.5,pomeriggio,3,Sunday,media,13.5,3.0,classica,Milano,2018,1500,Beatrice,Milano,Premium,2025-03-20
C0061,B004,U006,Roma,2026-03-15,17.0,3.92,notte,3,Sunday,media,13.84,2.7,classica,Roma,2023,800,Paolo,Torino,Base,2024-01-15
C0062,B014,U012,Milano,2026-04-10,34.0,8.47,mattina,4,Friday,media,14.95,4.4,elettrica,Roma,2024,1200,Davide,Milano,Base,2024-06-01
C0063,B016,U012,Torino,2026-03-01,23.0,4.4,sera,3,Sunday,media,11.48,3.3,elettrica,Roma,2020,1500,Davide,Milano,Base,2024-06-01
C0064,B015,U020,Milano,2026-03-01,21.0,3.93,sera,3,Sunday,media,11.23,3.1,elettrica,Milano,2023,2000,Stefano,Torino,Family,2025-03-20
C0065,B008,U011,Milano,2026-03-01,67.0,15.25,mattina,3,Sunday,lunga,13.66,6.76,classica,Torino,2018,1500,Alessia,Torino,Base,2024-01-15
C0066,B014,U023,Roma,2026-03-01,23.0,4.23,mattina,3,Sunday,media,11.03,3.3,elettrica,Roma,2024,1200,Sofia,Torino,Base,2025-03-20
C0067,B008,U025,Torino,2026-03-15,62.0,15.07,notte,3,Sunday,lunga,14.58,6.36,classica,Torino,2018,1500,Federica,Milano,Premium,2025-03-20
C0068,B016,U007,Torino,2026-03-01,59.0,13.91,notte,3,Sunday,lunga,14.15,6.12,elettrica,Roma,2020,1500,Elena,Torino,Base,2024-01-15
C0069,B013,U001,Roma,2026-04-10,66.0,12.73,pomeriggio,4,Friday,lunga,11.57,6.68,elettrica,Milano,2023,1200,Luca,Roma,Family,2024-06-01
C0070,B018,U001,Roma,2026-04-10,27.0,6.08,notte,4,Friday,media,13.51,3.7,elettrica,Milano,2022,2000,Luca,Roma,Family,2024-06-01
C0071,B015,U025,Torino,2026-03-01,13.0,2.93,sera,3,Sunday,breve,13.52,1.5,elettrica,Milano,2023,2000,Federica,Milano,Premium,2025-03-20
C0072,B013,U025,Torino,2026-04-10,16.0,2.56,sera,4,Friday,media,9.6,2.6,elettrica,Milano,2023,1200,Federica,Milano,Premium,2025-03-20
C0073,B009,U020,Roma,2026-03-01,5.0,1.2,mattina,3,Sunday,breve,14.4,1.5,elettrica,Milano,2019,1500,Stefano,Torino,Family,2025-03-20
C0074,B015,U013,Milano,2026-03-01,62.0,12.43,notte,3,Sunday,lunga,12.03,6.36,elettrica,Milano,2023,2000,Martina,Roma,Premium,2024-06-01
C0075,B013,U009,Milano,2026-04-10,5.0,1.16,pomeriggio,4,Friday,breve,13.92,1.5,elettrica,Milano,2023,1200,Chiara,Roma,Premium,2024-01-15
C0076,B001,U003,Roma,2026-03-01,38.0,6.92,sera,3,Sunday,media,10.93,4.8,classica,Torino,2023,2000,Marco,Torino,Premium,2025-03-20
C0077,B007,U007,Milano,2026-04-10,52.0,12.46,sera,4,Friday,lunga,14.38,5.56,classica,Torino,2020,2000,Elena,Torino,Base,2024-01-15
C0078,B009,U006,Roma,2026-03-15,29.0,0.94,pomeriggio,3,Sunday,media,1.94,3.9,elettrica,Milano,2019,1500,Paolo,Torino,Base,2024-01-15
C0079,B001,U008,Milano,2026-03-01,20.0,3.02,pomeriggio,3,Sunday,media,9.06,3.0,classica,Torino,2023,2000,Matteo,Torino,Base,2024-01-15
C0080,B012,U009,Milano,2026-03-15,65.0,15.63,sera,3,Sunday,lunga,14.43,6.6,elettrica,Roma,2018,1200,Chiara,Roma,Premium,2024-01-15
C0081,B008,U005,Torino,2026-04-10,68.0,10.82,sera,4,Friday,lunga,9.55,6.84,classica,Torino,2018,1500,Anna,Torino,Base,2024-06-01
C0082,B011,U001,Torino,2026-03-15,55.0,12.19,pomeriggio,3,Sunday,lunga,13.3,5.8,classica,Roma,2024,2000,Luca,Roma,Family,2024-06-01
C0083,B019,U019,Milano,2026-03-15,73.0,17.89,sera,3,Sunday,lunga,14.7,7.24,classica,Milano,2018,1200,Laura,Milano,Base,2024-06-01
C0084,B017,U010,Milano,2026-04-10,26.0,6.37,mattina,4,Friday,media,14.7,3.6,elettrica,Milano,2024,1200,Roberto,Torino,Family,2024-06-01
C0085,B008,U012,Torino,2026-03-15,71.0,14.72,mattina,3,Sunday,lunga,12.44,7.08,classica,Torino,2018,1500,Davide,Milano,Base,2024-06-01
C0004,B011,U005,Milano,2026-03-01,27.0,4.09,mattina,3,Sunday,media,9.09,3.7,classica,Roma,2024,2000,Anna,Torino,Base,2024-06-01
